Vila Verde	Vera Cruz	Dili	226
Comoro	Dom Aleixo	Dili	227
Bairro Pite	Dom Aleixo	Dili	228
Hera	Cristo Rei	Dili	229
Costa	Pante Macasar	Oecussi	230
Kampung Alor	Dom Aleixo	Dili	231
Bobonaro	Bobonaro	Bobonaro	232
Naimeco	Pante Macasar	Oecussi	233
Biceli	Atauro	Dili	234
Comoro	Dom Aleixo	Dili	235
Mirtutu	Ermera	Ermera	236
Aiteas	Manatuto	Manatuto	237
Aitutu	Maubisse	Ainaro	238
Holsa	Maliana	Bobonaro	239
Casabauc	Tilomar	Covalima	240
Caraubalo	Viqueque	Viqueque	241
Vaviquinia	Maubara	Liquica	242
Clacuc	Fatuberliu	Manufahi	243
Seloi Malere	Aileu Vila	Aileu	244
Caraubalo	Viqueque	Viqueque	245
Loidahar	Liquica	Liquica	246
Debos	Suai	Covalima	247
Labarai	Suai	Covalima	248
Bereleu	Liquidoe	Aileu	249
Beloi	Atauro	Dili	250
Wailili	Baucau	Baucau	251
Caraubalo	Viqueque	Viqueque	252
Hatolia	Hatolia	Ermera	253
Soro	Ainaro	Ainaro	254
Aidabaleten	Atabae	Bobonaro	255
Letefoho	Same	Manufahi	256
Dilor	Lacluta	Viqueque	257
Bucoli	Baucau	Baucau	258
Bahu	Baucau	Baucau	259
Bemori	Nain Feto	Dili	260
Seical	Baucau	Baucau	261
Ossu De Cima	Ossu	Viqueque	262
Aiteas	Manatuto	Manatuto	263
Caraubalo	Viqueque	Viqueque	264
Souro	Lospalos	Lautem	265
Taroman	Fatululic	Covalima	266
Caraubalo	Viqueque	Viqueque	267
Buibau	Baucau	Baucau	268
Uma Tolu	Lacluta	Viqueque	269
Caraubalo	Viqueque	Viqueque	270
Letefoho	Same	Manufahi	271
Debos	Suai	Covalima	327
Letefoho	Same	Manufahi	329
Bairro Pite	Dom Aleixo	Dili	272
\N	\N	\N	273
Motael	Vera Cruz	Dili	274
Vatuvou	Maubara	Liquica	275
Beloi	Atauro	Dili	276
Uaigae	Vemase	Baucau	277
Mau-Ulo	Ainaro	Ainaro	279
Debos	Suai	Covalima	280
Becora	Cristo Rei	Dili	281
Dotic	Alas	Manufahi	282
Fuiloro	Lospalos	Lautem	283
Bemori	Nain Feto	Dili	284
Fuiloro	Lospalos	Lautem	285
Motael	Vera Cruz	Dili	286
Bemori	Nain Feto	Dili	288
Baricafa	Luro	Lautem	289
Santa Cruz	Nain Feto	Dili	290
Comoro	Dom Aleixo	Dili	291
Dare	Vera Cruz	Dili	292
Hera	Cristo Rei	Dili	293
Fuiloro	Lospalos	Lautem	294
Sabuli	Metinaro	Dili	295
Comoro	Dom Aleixo	Dili	296
Dare	Vera Cruz	Dili	297
Talimoro	Ermera	Ermera	298
\N	\N	\N	299
\N	\N	\N	300
\N	\N	\N	302
Lahane Oriental	Nain Feto	Dili	303
Motael	Vera Cruz	Dili	304
Motael	Vera Cruz	Dili	305
Comoro	Dom Aleixo	Dili	306
Tashilin	Zumalai	Covalima	307
Motael	Vera Cruz	Dili	308
Bairro Pite	Dom Aleixo	Dili	309
Colmera	Vera Cruz	Dili	310
Kampung Alor	Dom Aleixo	Dili	311
Comoro	Dom Aleixo	Dili	312
Becora	Cristo Rei	Dili	313
Becora	Cristo Rei	Dili	314
Bidau Lecidere	Nain Feto	Dili	315
Santa Cruz	Nain Feto	Dili	316
Bairro Pite	Dom Aleixo	Dili	317
Tibar	Bazartete	Liquica	318
Colmera	Vera Cruz	Dili	319
Santa Cruz	Nain Feto	Dili	320
\N	\N	\N	321
Comoro	Dom Aleixo	Dili	322
Vila Verde	Vera Cruz	Dili	323
Comoro	Dom Aleixo	Dili	324
Macarenhas	Vera Cruz	Dili	325
Seical	Baucau	Baucau	330
Triloca	Baucau	Baucau	331
Fuiloro	Lospalos	Lautem	332
\N	\N	\N	333
Betano	Same	Manufahi	334
Fuiloro	Lospalos	Lautem	335
Betano	Same	Manufahi	336
Lahane Oriental	Nain Feto	Dili	337
Fuiloro	Lospalos	Lautem	338
Bidau Lecidere	Nain Feto	Dili	339
Cunha	Pante Macasar	Oecussi	340
Comoro	Dom Aleixo	Dili	341
Gildapil	Lolotoe	Bobonaro	342
Ma'Abat	Manatuto	Manatuto	343
Comoro	Dom Aleixo	Dili	344
Comoro	Dom Aleixo	Dili	345
Debos	Suai	Covalima	346
Motael	Vera Cruz	Dili	347
Bidau Santana	Cristo Rei	Dili	348
Fuiloro	Lospalos	Lautem	349
Balibar	Cristo Rei	Dili	350
Comoro	Dom Aleixo	Dili	351
Acadiru Hun	Nain Feto	Dili	353
Vila Verde	Vera Cruz	Dili	354
Suco Liurai	Aileu Vila	Aileu	355
Vila Verde	Vera Cruz	Dili	356
Fatumaquerec	Laclubar	Manatuto	357
\N	\N	\N	358
Fatumasi	Bazartete	Liquica	359
Caicoli	Vera Cruz	Dili	360
Bairro Pite	Dom Aleixo	Dili	361
Lahane Ocidental	Vera Cruz	Dili	362
Vila Verde	Vera Cruz	Dili	363
Motael	Vera Cruz	Dili	364
Bidau Santana	Cristo Rei	Dili	365
Holsa	Maliana	Bobonaro	366
Fuiloro	Lospalos	Lautem	367
Gricenfor	Nain Feto	Dili	368
Aiteas	Manatuto	Manatuto	369
Motael	Vera Cruz	Dili	370
Kampung Alor	Dom Aleixo	Dili	371
Caicoli	Vera Cruz	Dili	372
Motael	Vera Cruz	Dili	373
Talimoro	Ermera	Ermera	374
Leoteala	Liquica	Liquica	375
Motael	Vera Cruz	Dili	376
Atauro Vila/Maumeta	Atauro	Dili	377
Atauro Vila/Maumeta	Atauro	Dili	378
Debos	Suai	Covalima	379
Fatuhada	Dom Aleixo	Dili	380
Motael	Vera Cruz	Dili	381
Comoro	Dom Aleixo	Dili	382
Aisirimou	Aileu Vila	Aileu	383
Colmera	Vera Cruz	Dili	384
Gricenfor	Nain Feto	Dili	385
Becora	Cristo Rei	Dili	386
Comoro	Dom Aleixo	Dili	387
Hera	Cristo Rei	Dili	388
Caraubalo	Viqueque	Viqueque	389
Culu Hun	Cristo Rei	Dili	287
Defa Uassi	Baguia	Baucau	390
Hera	Cristo Rei	Dili	391
Comoro	Dom Aleixo	Dili	392
Motael	Vera Cruz	Dili	393
Loidahar	Liquica	Liquica	394
Bairro Pite	Dom Aleixo	Dili	395
Debos	Suai	Covalima	396
Gricenfor	Nain Feto	Dili	397
Comoro	Dom Aleixo	Dili	398
Bidau Santana	Cristo Rei	Dili	399
Becora	Cristo Rei	Dili	400
Lahane Ocidental	Vera Cruz	Dili	401
Acadiru Hun	Nain Feto	Dili	402
Ritabou	Maliana	Bobonaro	403
Becora	Cristo Rei	Dili	404
Comoro	Dom Aleixo	Dili	405
Fuiloro	Lospalos	Lautem	406
Vila Verde	Vera Cruz	Dili	407
Wailili	Baucau	Baucau	408
Comoro	Dom Aleixo	Dili	409
Mau-Ulo	Ainaro	Ainaro	410
Costa	Pante Macasar	Oecussi	411
Colmera	Vera Cruz	Dili	412
Comoro	Dom Aleixo	Dili	413
Debos	Suai	Covalima	414
Caraubalo	Viqueque	Viqueque	415
Caicoli	Vera Cruz	Dili	416
Seloi Craic	Aileu Vila	Aileu	417
Caicoli	Vera Cruz	Dili	418
Caicoli	Vera Cruz	Dili	419
Caicoli	Vera Cruz	Dili	420
Motael	Vera Cruz	Dili	421
Caicoli	Vera Cruz	Dili	422
Comoro	Dom Aleixo	Dili	424
Costa	Pante Macasar	Oecussi	425
Bidau Santana	Cristo Rei	Dili	426
Bidau Lecidere	Nain Feto	Dili	427
Trilolo	Baucau	Baucau	428
Becora	Cristo Rei	Dili	431
Bairro Pite	Dom Aleixo	Dili	432
Comoro	Dom Aleixo	Dili	433
Dare	Vera Cruz	Dili	434
Usi-Taco	Nitibe	Oecussi	435
Talimoro	Ermera	Ermera	436
Comoro	Dom Aleixo	Dili	437
Caraubalo	Viqueque	Viqueque	438
Gricenfor	Nain Feto	Dili	423
Motael	Vera Cruz	Dili	439
Lahane Oriental	Nain Feto	Dili	440
Becora	Cristo Rei	Dili	441
Suai Loro	Suai	Covalima	442
Comoro	Dom Aleixo	Dili	443
Caicoli	Vera Cruz	Dili	444
Comoro	Dom Aleixo	Dili	445
Clacuc	Fatuberliu	Manufahi	447
Comoro	Dom Aleixo	Dili	448
Motael	Vera Cruz	Dili	449
Bidau Lecidere	Nain Feto	Dili	450
Trilolo	Baucau	Baucau	451
Costa	Pante Macasar	Oecussi	452
Comoro	Dom Aleixo	Dili	453
Nipani	Pante Macasar	Oecussi	454
Mau-Ulo	Ainaro	Ainaro	455
Mau-Ulo	Ainaro	Ainaro	456
Colmera	Vera Cruz	Dili	457
Babulu	Same	Manufahi	458
Comoro	Dom Aleixo	Dili	459
Dotic	Alas	Manufahi	460
Betano	Same	Manufahi	461
Loidahar	Liquica	Liquica	462
Loidahar	Liquica	Liquica	463
Debos	Suai	Covalima	464
Vatuvou	Maubara	Liquica	465
Comoro	Dom Aleixo	Dili	466
Motael	Vera Cruz	Dili	467
Faturasa	Remexio	Aileu	468
Fatubosa	Aileu Vila	Aileu	470
Fatumasi	Bazartete	Liquica	471
Bahalarauain	Viqueque	Viqueque	472
Manapa	Cailaco	Bobonaro	473
Vaviquinia	Maubara	Liquica	474
Costa	Pante Macasar	Oecussi	475
Loi-Huno	Ossu	Viqueque	476
Caraubalo	Viqueque	Viqueque	477
Maumeta	Bazartete	Liquica	478
Letefoho	Same	Manufahi	479
Seloi Malere	Aileu Vila	Aileu	480
Bahalarauain	Viqueque	Viqueque	481
Foho-Ai-Lico	Hatu-Udo	Ainaro	482
Bidau Santana	Cristo Rei	Dili	483
Manapa	Cailaco	Bobonaro	484
Fatuhada	Dom Aleixo	Dili	485
Letefoho	Same	Manufahi	486
Ritabou	Maliana	Bobonaro	488
Culu Hun	Cristo Rei	Dili	489
Bairro Pite	Dom Aleixo	Dili	490
Lebos	Lolotoe	Bobonaro	491
Loidahar	Liquica	Liquica	492
Caraubalo	Viqueque	Viqueque	493
Bidau Lecidere	Nain Feto	Dili	494
Debos	Suai	Covalima	495
Loidahar	Liquica	Liquica	496
Debos	Suai	Covalima	497
